诗词,作者,朝代
花鸭,杜甫,唐代
上林春令·十一月三十日见雪,毛滂,宋代
咏邻女东窗海石榴,李白,唐代
下泉,佚名,先秦
红蕉,柳宗元,唐代
咏长城,汪遵,唐代
解语花·云容冱雪,施岳,宋代
牡丹芳,白居易,唐代
西江月·真觉赏瑞香二首,苏轼,宋代
杨生青花紫石砚歌,李贺,唐代
赠王桂阳,吴均,南北朝
白鹭儿,刘禹锡,唐代
咏落梅,谢朓,南北朝
咏虞美人花,吴信辰,清代
醉落魄·正月二十日张园赏海棠作,管鉴,宋代
潇湘夜雨·灯词,赵长卿,宋代
念奴娇·宜雨亭咏千叶海棠,张鎡,宋代
菩萨蛮·芭蕉,张鎡,宋代
赵昌寒菊,苏轼,宋代
乌夜啼·石榴,刘铉,宋代
鸣雁行,李白,唐代
杨柳八首·其二,温庭筠,唐代
柳枝·解冻风来末上青,牛峤,唐代
和郭主簿·其二,陶渊明,魏晋
南浦·春水,张炎,宋代
宴清都·连理海棠,吴文英,宋代
咏儋耳二首,方向,明代
咏长信宫中草诗,庾肩吾,南北朝
落梅,陆游,宋代
一萼红·古城阴,姜夔,宋代
风流子·出关见桃花,张惠言,清代
醉桃源·芙蓉,吴文英,宋代
题张十一旅舍三咏·葡萄,韩愈,唐代
深院,韩偓,唐代
题平阳郡汾桥边柳树,岑参,唐代
小重山令·赋潭州红梅,姜夔,宋代
题竹石牧牛,黄庭坚,宋代
野人送朱樱,杜甫,唐代
杨柳枝五首·其二,牛峤,唐代
十一月二十六日松风亭下梅花盛开,苏轼,宋代
椒聊,佚名,先秦
满庭芳·促织儿,张鎡,宋代
寒松赋,李绅,唐代
回中牡丹为雨所败二首,李商隐,唐代
鲥鱼,何景明,明代
华下对菊,司空图,唐代
子规,余靖,宋代
水龙吟·梨花,周邦彦,宋代
清如玉壶冰 / 赋得清如玉壶冰,王维,唐代
咏萤火诗,萧绎,南北朝
舞鹤赋,鲍照,南北朝
酒箴,扬雄,两汉
霓裳中序第一·茉莉咏,尹焕,宋代
牡丹,皮日休,唐代
金缕曲·咏白海棠,顾太清,清代
柳梢青·灯花,张林,宋代
禹庙,杜甫,唐代
咏杜鹃花,释择璘,宋代
浣溪沙·绿玉枝头一粟黄,毛珝,宋代
南浦·春水,王沂孙,宋代
朱鹭,佚名,两汉
丁香结·夷则商秋日海棠,吴文英,宋代
声声慢·咏桂花,吴文英,宋代
疏影·芭蕉,纳兰性德,清代
咏铜雀台,汪遵,唐代
望隔墙花诗,刘孝威,南北朝
念奴娇·春雪咏兰,陈子龙,明代
与东方左史虬修竹篇,陈子昂,唐代
惜黄花慢·菊,吴文英,宋代
献仙音·吊雪香亭梅,周密,宋代
京兆府栽莲,白居易,唐代
洞仙歌·中秋,向子諲,宋代
水龙吟·落叶,王沂孙,宋代
柳梢青·过何郎石见早梅,赵长卿,宋代
九字梅花咏,明本,元代
诉衷情·海棠珠缀一重重,晏殊,宋代
立冬前一日霜对菊有感,钱时,宋代
洞仙歌·咏黄葵,纳兰性德,清代
春草,刘敞,宋代
留春令·咏梅花,史达祖,宋代
咏路,邹浩,宋代
红林檎近·高柳春才软,周邦彦,宋代
和马郎中移白菊见示,李商隐,唐代
玉楼春·燕雕梁画栋原无数,宋徵舆,清代
清江引·托咏,宋方壶,元代
庭竹,刘禹锡,唐代
花犯·苔梅,王沂孙,宋代
侧犯·咏芍药,姜夔,宋代
牡丹,韩琮,唐代
赠从弟·其三,刘桢,两汉
暗香疏影·夹钟宫赋墨梅,吴文英,宋代
浣溪沙·题李中斋舟中梅屏,吴文英,宋代
黄莺儿·园林晴昼春谁主,柳永,宋代
齐天乐·萤,王沂孙,宋代
咏山樽二首,李白,唐代
初出金门寻王侍御不遇咏壁上鹦鹉,李白,唐代
巴江柳,李商隐,唐代
一片,李商隐,唐代
养竹记,白居易,唐代
象祠记,王守仁,明代
咏被中绣鞋,夏侯审,唐代
红林擒近·寿词·满路花,陈允平,宋代
咏兴国寺佛殿前幡,李世民,唐代
橘柚垂华实,佚名,两汉
咏木槿树题武进文明府厅,刘庭琦,唐代
梅花,王冕,元代
浣溪沙·几共查梨到雪霜,苏轼,宋代
咏素蝶诗,刘孝绰,南北朝
咏零陵,欧阳修,宋代
秘色越器,陆龟蒙,唐代
白菊三首,司空图,唐代
南中荣橘柚,柳宗元,唐代
满江红·咏竹,陆容,明代
绝句四首·其四,杜甫,唐代
东湖新竹,陆游,宋代
戏题牡丹,韩愈,唐代
临江仙·寒柳,陈维崧,清代
巽公院五咏·苦竹桥,柳宗元,唐代
戏题阶前芍药,柳宗元,唐代
南乡子·咏瑞香,顾太清,清代
灵台,佚名,先秦
敷浅原见桃花,刘次庄,宋代
吴山青·金璞明,赵溍,宋代
临江仙·和叶仲洽赋羊桃,辛弃疾,宋代
一萼红·盆梅,朱晞颜,宋代
惜秋华·木芙蓉,吴文英,宋代
六丑·杨花,彭元逊,宋代
同谢谘议咏铜雀台,谢朓,南北朝
咏萍,刘绘,南北朝
琐窗寒·玉兰,吴文英,宋代
中秋见月和子由,苏轼,宋代
咏画障,上官仪,唐代
同儿辈赋未开海棠,元好问,金朝
白菊杂书四首,司空图,唐代
咏蚊,范仲淹,宋代
书韩干牧马图,苏轼,宋代
题李俨黄菊赋,耶律洪基,宋代
蜀桐,李商隐,唐代
杜鹃花得红字,真山民,宋代
咏菊,丘浚,明代
新植海石榴,柳宗元,唐代
奉试明堂火珠,崔曙,唐代
瑶花慢·朱钿宝玦,周密,宋代
解语花·梅花,吴文英,宋代
咏孤石,惠标,南北朝
双双燕·满城社雨,张惠言,清代
梅,王淇,宋代
和答钱穆父咏猩猩毛笔,黄庭坚,宋代
杏花,王安石,宋代
